平成22年国勢調査（総務省統計局）																																																																																			
都道府県・市区町村別主要統計表（平成22年）																																																																																			
"注）総数には「不詳」を含むため、内訳を合計しても総数に一致しない。
"																																																																																			
　割合は，分母から不詳を除いて算出している。　　							用語の解説																																																																												
  産業３部門別割合は，分母から「分類不能の産業」を除いて算出している。																																																																																			
地域	人口	平成17年	平成17年～22年の	平成17年～22年の					年齢（総数）	年齢別割合（総数）	年齢（男）	年齢別割合（男）	年齢（女）	年齢別割合（女）		国籍	世帯							昼間人口	"昼夜間
人口比率"
01	01105				0	北海道	札幌市 豊平区	212,118	209,428	2,690	1.3 	46.35	4,576.4	44.0 	42.9 	212,118	23,513	145,007	42,734	11.1 	68.6 	20.2 	98,960	11,929	69,048	17,502	12.1 	70.1 	17.8 	113,158	11,584	75,959	25,232	10.3 	67.4 	22.4 	87.5 	211,217	897	107,179	107,084	95	101,340	107,084	51,723	20,156	22,117	1,045	8,405	49,585	10,232	8,752	2,051	98,387	249	11,051	76,916	0.3	12.5	87.2	240	220	9	18	6,990	4,043	382	4,118	4,779	18,166	2,944	3,203	4,184	7,389	4,383	4,227	11,051	400	7,952	3,738	10,171	190,442	89.8
01	01106				0	北海道	札幌市 南区	146,341	153,021	-6,680	-4.4 	657.23	222.7	47.5 	49.9 	146,341	15,622	92,635	37,555	10.7 	63.5 	25.8 	68,072	7,878	44,026	15,871	11.6 	65.0 	23.4 	78,269	7,744	48,609	21,684	9.9 	62.3 	27.8 	87.0 	145,647	383	62,776	62,618	158	64,120	62,618	39,062	15,671	17,204	768	5,419	19,647	7,167	8,422	1,933	63,792	474	6,955	50,950	0.8	11.9	87.3	467	435	7	35	4,997	1,923	344	1,678	3,222	10,971	1,855	1,722	2,222	4,968	2,776	3,145	7,649	263	5,161	4,974	5,413	128,223	87.6
01	01107				0	北海道	札幌市 西区	211,229	207,329	3,900	1.9 	74.93	2,819.0	45.1 	45.2 	211,229	24,804	140,434	45,299	11.8 	66.7 	21.5 	98,090	12,657	66,249	18,832	12.9 	67.8 	19.3 	113,139	12,147	74,185	26,467	10.8 	65.8 	23.5 	86.7 	210,764	458	96,421	96,293	128	89,793	96,293	56,294	21,869	24,915	1,034	8,476	34,893	9,497	9,824	2,159	96,641	331	13,944	72,647	0.4	16.0	83.6	320	285	11	11	7,330	6,603	379	3,137	5,000	18,643	2,320	2,540	3,788	5,370	3,617	4,365	12,051	378	6,840	4,219	9,719	189,655	89.8
01	01108				0	北海道	札幌市 厚別区	128,492	129,720	-1,228	-0.9 	24.38	5,270.4	45.5 	46.8 	128,492	15,364	84,942	28,185	12.0 	66.1 	21.9 	59,035	7,742	39,367	11,925	13.1 	66.7 	20.2 	69,457	7,622	45,575	16,260	11.0 	65.6 	23.4 	85.0 	128,126	359	54,099	54,036	63	51,837	54,036	36,049	13,449	16,245	652	5,703	14,949	5,147	6,572	1,463	55,837	253	7,317	44,439	0.5	14.1	85.4	244	223	9	6	3,854	3,457	425	2,364	4,193	10,978	1,807	1,442	2,083	2,956	2,086	3,225	6,564	259	4,307	1,750	3,828	117,056	91.1
01	01109				0	北海道	札幌市 手稲区	139,644	137,601	2,043	1.5 	56.92	2,453.3	45.2 	46.7 	139,644	17,447	92,107	30,087	12.5 	66.0 	21.5 	65,899	8,930	44,216	12,750	13.6 	67.1 	19.3 	73,745	8,517	47,891	17,337	11.5 	64.9 	23.5 	89.4 	139,445	198	55,050	54,977	73	51,412	54,977	37,989	13,567	18,457	714	5,251	13,159	4,450	6,453	2,112	60,776	288	11,419	45,705	0.5	19.9	79.6	272	254	16	15	5,360	6,044	262	1,474	4,898	12,163	1,322	1,279	1,730	3,281	2,503	2,838	7,488	269	4,407	1,791	3,364	115,568	82.8
01	01110				0	北海道	札幌市 清田区	116,619	112,783	3,836	3.4 	59.70	1,953.4	43.9 	45.3 	116,619	16,119	77,805	22,553	13.8 	66.8 	19.4 	55,394	8,174	37,356	9,783	14.8 	67.5 	17.7 	61,225	7,945	40,449	12,770	13.0 	66.1 	20.9 	90.5 	116,259	358	42,759	42,708	51	40,142	42,708	30,384	10,053	16,240	583	3,508	8,300	2,873	4,756	2,310	50,017	240	8,029	39,329	0.5	16.9	82.6	232	223	8	5	5,129	2,895	302	1,432	4,219	10,727	1,361	1,265	1,625	2,766	2,223	2,526	5,629	219	3,640	1,395	2,419	97,650	83.7
01	01202				2	北海道	函館市	279,127	294,264	-15,137	-5.1 	677.93	411.7	48.2 	50.7 	279,127	30,474	171,405	76,637	10.9 	61.5 	27.5 	127,046	15,775	80,853	30,077	12.5 	63.8 	23.7 	152,081	14,699	90,552	46,560	9.7 	59.6 	30.7 	83.5 	278,310	667	126,180	125,956	224	128,411	125,956	69,766	28,735	27,271	1,428	12,332	45,915	17,501	14,892	5,129	121,734	4,343	20,184	89,051	3.8	17.8	78.4	955	845	3,388	34	10,014	10,136	618	1,299	7,329	21,757	2,851	1,974	2,374	9,158	5,352	5,332	16,287	852	8,027	5,841	8,156	286,732	102.7
01	01203	札幌			2	北海道	小樽市	131,928	142,161	-10,233	-7.2 	243.30	542.2	50.4 	54.5 	131,928	13,105	77,215	41,607	9.9 	58.5 	31.5 	59,514	6,611	36,495	16,407	11.1 	61.3 	27.6 	72,414	6,494	40,720	25,200	9.0 	56.2 	34.8 	82.2 	131,548	379	57,711	57,560	151	60,400	57,560	34,296	14,493	13,353	778	5,672	18,879	9,174	8,457	2,326	54,510	761	9,695	42,909	1.4	18.2	80.4	344	339	417	27	3,921	5,747	295	564	4,142	10,982	1,431	865	1,132	4,406	2,594	2,277	8,101	363	3,759	1,998	1,145	134,026	101.6
01	01204				2	北海道	旭川市	347,095	355,004	-7,909	-2.2 	747.60	464.3	47.6 	49.8 	347,095	40,260	213,269	91,937	11.7 	61.7 	26.6 	160,094	20,544	100,065	38,591	12.9 	62.9 	24.2 	187,001	19,716	113,204	53,346	10.6 	60.8 	28.6 	85.6 	344,481	568	154,393	153,986	407	150,384	153,986	91,671	39,422	37,011	1,637	13,601	51,783	18,053	20,894	5,225	154,253	4,155	26,209	117,667	2.8	17.7	79.5	4,148	3,911	7	31	14,497	11,681	742	1,509	8,933	29,590	3,692	2,577	3,839	9,616	6,641	7,067	23,708	1,055	10,208	8,490	6,222	348,932	100.5
01	01205				2	北海道	室蘭市	94,535	98,372	-3,837	-3.9 	80.65	1,172.2	48.3 	51.4 	94,535	10,484	56,279	27,699	11.1 	59.6 	29.3 	46,074	5,295	29,187	11,536	11.5 	63.4 	25.1 	48,461	5,189	27,092	16,163	10.7 	55.9 	33.4 	95.1 	94,272	263	45,029	44,962	67	45,266	44,962	24,724	11,485	9,241	528	3,470	17,659	6,326	6,444	1,259	39,545	374	10,443	27,314	1.0	27.4	71.6	205	200	169	3	4,191	6,249	270	479	2,396	6,172	807	477	1,138	2,573	1,622	1,649	4,964	200	2,798	1,769	1,414	103,303	109.3
